Magnet,Start,Duration,Type,RunID
3T,160.69896583061131,3.432935461041369,setup,2
1.5T,173.69896583061131,1.322936702297446,flip,2
1.5T,175.02190253290877,2.0,handover,2
1.5T,177.02190253290877,5.02249901519181,setup,2
3T,164.1319012916527,24.72608411586178,scan,2
3T,188.8579854075145,2.908944876837122,exit,2
3T,191.76693028435162,1.1800008252292162,flip,2
3T,192.94693110958085,2.0,handover,2
3T,194.94693110958085,2.349017468517192,setup,2
1.5T,182.0444015481006,18.746987884862115,scan,2
1.5T,200.79138943296272,1.0669498035959268,exit,2
1.5T,201.85833923655866,1.2094658371416136,flip,2
1.5T,206.91585470523023,2.0,handover,2
1.5T,208.91585470523023,1.7840774110339315,setup,2
3T,197.29594857809803,52.77519560715481,scan,2
3T,250.07114418525282,1.2924365991748294,exit,2
3T,251.36358078442765,0.8206336352918067,flip,2
3T,252.18421441971947,2.0,handover,2
3T,254.18421441971947,4.934007229441956,setup,2
1.5T,210.69993211626416,54.593325971189486,scan,2
1.5T,265.29325808745364,2.9605736512225813,exit,2
1.5T,268.25383173867624,1.0885358710945603,flip,2
1.5T,269.3423676097708,2.0,handover,2
1.5T,271.3423676097708,4.4715591878725345,setup,2
3T,259.1182216491614,24.507249937737598,scan,2
3T,283.625471586899,1.643556294914783,exit,2
3T,285.26902788181377,1.136075368181317,flip,2
1.5T,275.8139267976433,25.196220741720822,scan,2
1.5T,301.01014753936414,2.5789425100038668,exit,2
1.5T,303.589090049368,1.5863691080692057,flip,2
3T,368.9235955861407,2.0,handover,2
3T,370.9235955861407,4.995548056209019,setup,2
1.5T,403.36847684390693,2.0,handover,2
1.5T,405.36847684390693,3.662780061594359,setup,2
3T,375.91914364234975,56.39733424289572,scan,2
3T,432.3164778852455,2.8201420132408987,exit,2
3T,435.1366198984864,1.4021985778375603,flip,2
1.5T,409.03125690550127,28.619789892301355,scan,2
3T,436.53881847632397,2.0,handover,2
1.5T,437.6510467978026,2.5911883247206053,exit,2
1.5T,440.24223512252325,0.9224368602475284,flip,2
3T,438.53881847632397,3.028829324308176,setup,2
1.5T,441.16467198277076,2.0,handover,2
1.5T,443.16467198277076,4.838129707776509,setup,2
3T,441.5676478006321,19.625348277028973,scan,2
3T,461.19299607766106,2.0914704067573506,exit,2
3T,463.28446648441843,1.2255037512093911,flip,2
3T,464.50997023562786,2.0,handover,2
3T,466.50997023562786,3.6009914534134597,setup,2
1.5T,448.00280169054724,25.959360958333583,scan,2
1.5T,473.96216264888085,2.5335193104025353,exit,2
1.5T,476.4956819592834,1.7352301397304746,flip,2
1.5T,478.23091209901384,2.0,handover,2
1.5T,480.23091209901384,3.4863923780955712,setup,2
3T,470.11096168904135,20.59060976152332,scan,2
3T,490.70157145056464,3.2215301719963927,exit,2
3T,493.92310162256103,1.3451016678896117,flip,2
3T,495.26820329045063,2.0,handover,2
3T,497.26820329045063,4.886177985729963,setup,2
1.5T,483.71730447710945,20.363448286944156,scan,2
1.5T,504.0807527640536,3.065425214047267,exit,2
1.5T,507.1461779781009,1.101556874721417,flip,2
1.5T,508.2477348528223,2.0,handover,2
1.5T,510.2477348528223,4.922890293592078,setup,2
3T,502.15438127618063,50.801772366910825,scan,2
3T,552.9561536430915,2.1464576902795884,exit,2
3T,555.1026113333711,1.1090591541851085,flip,2
3T,556.2116704875563,2.0,handover,2
3T,558.2116704875563,3.1124815958860728,setup,2
1.5T,515.1706251464144,56.171708618567365,scan,2
1.5T,571.3423337649817,2.271060972672816,exit,2
1.5T,573.6133947376545,1.3538866760087567,flip,2
1.5T,575.6055223134827,2.0,handover,2
3T,561.3241520834423,19.601123757014612,scan,2
1.5T,577.6055223134827,4.368082459801497,setup,2
3T,580.925275840457,2.761973213945257,exit,2
3T,583.6872490544022,1.2346866459748171,flip,2
3T,591.1134698642321,2.0,handover,2
3T,593.1134698642321,4.32396915277312,setup,2
1.5T,581.9736047732841,20.860772162043414,scan,2
